ファイル名,名前
animal_moose,トナカイ
animal_okojo_summer,オコジョ
animalface_cheetah,チーター
animalface_duck,アヒル
animalface_kirin,きりん
animalface_niwatori,にわとり
animalface_panda,パンダ
animalface_usagi,うさぎ
animalface_zou,ぞう
eto_remake_inu,いぬ
food_cup_ramen_syouyu,カップラーメン
food_fruit_sandwich_ichigo,いちごサンドイッチ
food_misoshiru_toufu_wakame,みそ汁
hamster_sleeping_golden,ハムスター
pan_kame,カメロンパン
pan_pizza_toast,ピザトースト
rakugo_motoinu,元犬（もといぬ）
sleep_animal_cat,ねこ
sport_basketball,バスケットボール
sport_soccerball,サッカーボール
sports_ball_rugby,ラグビーボール
